1155225,3003128516,"Millstone Medical Outsourcing, LLC",10/22/2021,Devices,21 CFR 820.100(a),Lack of or inadequate procedures,Procedures for corrective and preventive action have not been adequately established.
1150061,2515872,DeVilbiss Healthcare LLC,08/25/2021,Devices,21 CFR 820.30(g),Design Validation - Risk analysis not performed/inadequate,Risk analysis is inadequate.
1150061,2515872,DeVilbiss Healthcare LLC,08/25/2021,Devices,21 CFR 820.90(b)(2),"Product rework procedures, Lack of or inadequate procedures",Procedures for rework of nonconforming product have not been established.
1150061,2515872,DeVilbiss Healthcare LLC,08/25/2021,Devices,21 CFR 820.100(a),Lack of or inadequate procedures,Procedures for corrective and preventive action have not been adequately established.
1150061,2515872,DeVilbiss Healthcare LLC,08/25/2021,Devices,21 CFR 820.198(a),Lack of or inadequate complaint procedures,"Procedures for receiving, reviewing, and evaluating complaints by a formally designated unit have not been adequately established."
1150061,2515872,DeVilbiss Healthcare LLC,08/25/2021,Devices,21 CFR 820.198(b),Rationale documented for no investigation,Records for complaints where no investigation was made do not include required information.
1150061,2515872,DeVilbiss Healthcare LLC,08/25/2021,Devices,21 CFR 820.198(e),Records of complaint investigation,Records of complaint investigations do not include required information.
1150454,3011937459,"VivaQuant, Inc.",08/25/2021,Devices,21 CFR 820.30(i),Design changes - Lack of or Inadequate Procedures,Procedures for design change have not been adequately established.
1150454,3011937459,"VivaQuant, Inc.",08/25/2021,Devices,21 CFR 820.40,Procedures not adequately established or maintained,Document control procedures have not been adequately established.
1150454,3011937459,"VivaQuant, Inc.",08/25/2021,Devices,21 CFR 820.50,"Purchasing controls, Lack of or inadequate procedures",Procedures to ensure that all purchased or otherwise received product and services conform to specified requirements have not been adequately established.
1150454,3011937459,"VivaQuant, Inc.",08/25/2021,Devices,21 CFR 820.80(b),Lack of or inadequate receiving acceptance procedures,Procedures for acceptance of incoming product have not been adequately established.
1150454,3011937459,"VivaQuant, Inc.",08/25/2021,Devices,21 CFR 820.100(a),Lack of or inadequate procedures,Procedures for corrective and preventive action have not been adequately established.
1150475,3009081566,Fertility Center of Dallas,08/25/2021,Human Tissue for Transplantation,21 CFR 1271.47(a),"Testing, screening, donor eligibility procedures",You did not establish and maintain procedures for testing and screening of HCT/P donors.
1148281,3015619394,Santa Cruz Produce Inc.,08/24/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1148362,3009729642,Ludan Produce Llc,08/24/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1149008,3008868565,"Specialty Fruits, LLC",08/24/2021,Foods,21 CFR 1.504(b)(1),"Hazard analysis biological, chemical, physical",Your hazard analysis did not identify a hazard that requires a control.
1149008,3008868565,"Specialty Fruits, LLC",08/24/2021,Foods,21 CFR 1.505(a)(2),"Evaluation - performance, risk",You did not document that you conducted an evaluation or reviewed and assessed an evaluation conducted by another entity to determine a foreign supplier's performance.
1149008,3008868565,"Specialty Fruits, LLC",08/24/2021,Foods,21 CFR 1.506(a)(1),Approved supplier procedures - importer established,You did not establish written procedures to ensure that you import foods only from approved foreign suppliers.
1149008,3008868565,"Specialty Fruits, LLC",08/24/2021,Foods,21 CFR 1.506(b),Supplier verification - establish written procedures,You did not establish written procedures for ensuring that appropriate foreign supplier verification activities are conducted with respect to a food you import.
1149028,3002766283,Western Pacific Produce Inc.,08/24/2021,Foods,21 CFR 1.506(d)(1)(ii),Verification activity - appropriate,You did not conduct an appropriate supplier verification activity.
1149644,3011117771,Wainwright Dairy Inc,08/24/2021,Foods,21 CFR 117.35(a),Sanitary Operations - Plant Maintenance,You did not maintain your plant in a clean and sanitary condition.
1149644,3011117771,Wainwright Dairy Inc,08/24/2021,Foods,21 CFR 117.35(b)(2),"Toxic Chemicals - identified, held, stored","You did not identify, hold and store a toxic chemical in a manner that protects against contamination."
1149644,3011117771,Wainwright Dairy Inc,08/24/2021,Foods,21 CFR 117.37,Sanitary Facilities and Control,Your plant did not have adequate sanitary facilities and accommodations.
1149651,2018139,"Azteca Bakeries, Incorporated",08/24/2021,Foods,21 CFR 117.80(c),"Manufacturing, Processing, Packing, Holding - Controls",You did not conduct operations under conditions and controls necessary to minimize the potential for growth of microorganisms.
1149668,3014025581,Lee and Suh INC DBA Sharetea,08/24/2021,Foods,21 CFR 1.505(b),Supplier approval - document,You did not document that you approved a foreign supplier based on an evaluation that you conducted of the foreign supplier's performance and the risk posed by a food or based on a review and assessment of another entity's evaluation of a foreign supplier's performance and the risk posed by a food.
1149668,3014025581,Lee and Suh INC DBA Sharetea,08/24/2021,Foods,21 CFR 1.506(d)(2),Onsite audit,"For a food that may contain a hazard that will be controlled by the foreign supplier and is one for which there is a reasonable probability that exposure to the hazard will result in serious adverse health consequences or death to humans or animals, you did not conduct and document or obtain documentation of an onsite audit of the foreign supplier before initially importing the food into the United States and at least annually after importing the food into the United States."
1149814,3014565172,RENU SKIN SPA LLC,08/24/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1149849,3000205427,HNC Products Inc.,08/24/2021,Drugs,21 CFR 211.22(d),"Procedures not  in writing, fully followed",The responsibilities and procedures applicable to the quality control unit are not in writing and fully followed.
1149849,3000205427,HNC Products Inc.,08/24/2021,Drugs,21 CFR 211.67(a),Cleaning / Sanitizing / Maintenance,"Equipment and utensils are not cleaned at appropriate intervals to prevent contamination that would alter the safety, identity, strength, quality or purity of the drug product."
1149849,3000205427,HNC Products Inc.,08/24/2021,Drugs,21 CFR 211.68(a),Calibration/Inspection/Checking not done,"Routine calibration, inspection and checking of automatic, mechanical and electronic equipment is not performed according to a written program designed to assure proper performance."
1149849,3000205427,HNC Products Inc.,08/24/2021,Drugs,21 CFR 211.160(b),Scientifically sound laboratory controls,"Laboratory controls do not include the establishment of scientifically sound and appropriate specifications and test procedures designed to assure that components conform to appropriate standards of identity, strength, quality and purity."
1149949,3013947174,DUPONT NUTRITION USA INC,08/24/2021,Foods,21 CFR 1.504(b)(1),"Hazard analysis biological, chemical, physical",Your hazard analysis did not identify a hazard that requires a control.
1150950,3003815957,New Spirit Naturals Inc.,08/24/2021,Foods,21 CFR 111.70(b)(3),Specifications - contamination limits,You did not establish limits for contamination that may adulterate or may lead to adulteration of the finished dietary supplement.
1150950,3003815957,New Spirit Naturals Inc.,08/24/2021,Foods,21 CFR 111.70(e),"Specifications - identity, purity, strength, composition",You did not establish product specifications for the strength of the finished dietary supplement.
1150950,3003815957,New Spirit Naturals Inc.,08/24/2021,Foods,21 CFR 111.255(b),Batch record - complete,Your batch production record did not include complete information relating to the production and control of each batch.
1150950,3003815957,New Spirit Naturals Inc.,08/24/2021,Foods,21 CFR 120.7(a),Hazard analysis - written - elements,"Your written hazard analysis does not consist of an identification of food hazards, an evaluation of each food hazard identified to determine if it must be addressed in the HACCP plan, an identification of the control measures that can be applied, a review of your current process to determine whether modifications are necessary and an identification of critical control points."
1150950,3003815957,New Spirit Naturals Inc.,08/24/2021,Foods,21 CFR 120.24(a),Process controls - HACCP plan - 5 log reduction,"Your HACCP plan does not include control measures that will consistently produce a 5 log reduction in the most resistant microorganism of public health significance that is likely to occur in the juice, for a period at least as long as the shelf life of the product."
1149077,3014407175,MAXI YAKAS LLC,08/23/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1149077,3014407175,MAXI YAKAS LLC,08/23/2021,Foods,21 CFR 1.504(a),Hazard analysis written,You did not have a written hazard analysis.
1149507,2125164,"Captain Ken's Foods, Inc",08/23/2021,Foods,21 CFR 117.130(a)(1),Hazard Analysis - Identification of Hazard,Your hazard analysis did not identify a known or reasonably foreseeable hazard that required a preventive control.
1149541,3013493563,DEL VALLE IMPORT CORP.,08/23/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1149544,1036166,New York International Bread Co.,08/23/2021,Foods,21 CFR 117.80(c),"Manufacturing, Processing, Packing, Holding - Controls",You did not conduct operations under conditions and controls necessary to minimize the potential for contamination of food.
1149550,3011433921,"Panovo, Inc.",08/23/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1149716,3006811176,"Performance Food Group, Inc.",08/23/2021,Foods,21 CFR 1.513(b)(1),Regulatory oversight,"You did not document that the foreign supplier is in, and under the regulatory oversight of, a country whose food safety system FDA has officially recognized as comparable or determined to be equivalent to that of the United States, and that the food is within the scope of FDA's official recognition or equivalency determination before importing a food from a foreign supplier and on an annual basis."
